@relation senercon

@attribute num_verbs numeric
@attribute contain_modal numeric
@attribute num_nouns numeric
@attribute num_pos_nouns numeric
@attribute pos_nouns_score real
@attribute num_neg_nouns numeric
@attribute neg_nouns_score real
@attribute num_pos_adj numeric
@attribute pos_score real
@attribute num_neg_adj numeric
@attribute neg_score real
@attribute num_adj numeric
@attribute sent_length numeric
@attribute num_question_marks numeric
@attribute num_exclamation_marks numeric
@attribute num_slash numeric
@attribute num_underscore numeric
@attribute num_hash numeric
@attribute num_currency numeric
@attribute num_percentage numeric
@attribute num_brackets_type1 numeric
@attribute num_brackets_type2 numeric
@attribute num_assertive_verbs numeric
@attribute num_requestive_verbs numeric
@attribute num_responsive_verbs numeric
@attribute num_informative_verbs numeric
@attribute num_assertive_expressions numeric
@attribute num_confirmative_expressions numeric
@attribute num_concessive_expressions numeric
@attribute num_requestive_expressions numeric
@attribute num_requirement_expressions numeric
@attribute num_question_expressions numeric
@attribute num_responsive_expressions numeric
@attribute num_suggestive_expressions numeric
@attribute num_suppositive_expressions numeric
@attribute num_attach_expressions numeric
@attribute num_code_expressions numeric
@attribute num_descriptive_expressions numeric
@attribute num_logFile_expressions numeric
@attribute num_urlLink_expressions numeric
@attribute num_sentences numeric
@attribute overall_sentiment real
@attribute @@class@@ {OTHER,ENHANCEMENT}


@data
5.0,2.0,3.0,4.0,0.5340157160276386,0.0,0.0,1.0,0.6100000000000001,0.0,0.0,0.0,229.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-6.0, OTHER 
2.0,2.0,4.0,2.0,0.2556215554436969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,-4.0, OTHER 
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0, OTHER 
0.0,0.0,5.0,2.0,0.12571811774416006,1.0,-0.01037537345531905,0.0,0.0,2.0,-0.20891337869173335,2.0,213.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.0, OTHER 
1.0,1.0,3.0,1.0,0.017183335671202133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-4.0, OTHER 
3.0,0.0,3.0,1.0,0.25,1.0,-0.11826402742769769,1.0,0.12741157076130974,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0, OTHER 
4.0,2.0,1.0,5.0,0.7052002890303934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0, OTHER 
3.0,1.0,5.0,2.0,0.16473407544836116,0.0,0.0,2.0,0.20620437956204382,1.0,-0.6291555617898724,4.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-6.0, OTHER 
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.36000000000000004,2.0,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0, OTHER 
2.0,2.0,11.0,3.0,0.14119942181022851,1.0,-0.045454545454545456,1.0,0.10310218978102191,0.0,0.0,2.0,270.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.0, OTHER 
